"address","lat","long"
"CR 51B CL 106, Barranquilla, Colombia",11.0148497278002,-74.836707269697
"CL 94 CR 3A, Barranquilla, Colombia",10.9392550475613,-74.8268149256831
"CL 110 CR 38, Barranquilla, Colombia",10.9858476930179,-74.8362767035007
"CL 53D CR 20, Barranquilla, Colombia",10.9671400259096,-74.8009249031548
"CR 59 CL 86, Barranquilla, Colombia",11.0135591462707,-74.8168320329726
"CL 74 CR 41C, Barranquilla, Colombia",10.9916950417644,-74.8100449167239
"CL 30 CR 24, Barranquilla, Colombia",10.9640576319137,-74.7831663222765
"CR 9 74 15, Barranquilla, Colombia",10.9549365716071,-74.8195572614432
"CL 84B CR 38, Barranquilla, Colombia",10.9829399911222,-74.8344045659246
"CL 56 11 102, Barranquilla, Colombia",10.9568107093704,-74.8054331821917
"CR 43 CL 8, Barranquilla, Colombia",10.9816011413242,-74.772595000293
"CL 72 CR 36, Barranquilla, Colombia",10.9849550486472,-74.8116099437753
"CL 76 CR 6B, Barranquilla, Colombia",10.9469200465581,-74.8217949200523
"CL 110 CR 9, Barranquilla, Colombia",10.9858476930179,-74.8362767035007
"CL 86 CR 42G, Barranquilla, Colombia",11.0080596406475,-74.8368781545515
"CL 84 CR 68, Barranquilla, Colombia",11.0148370033959,-74.8090590860507
"CR 41 CL 52 53, Barranquilla, Colombia",10.9825730714376,-74.7927161763283
"CL 36 CR 44 PARQUEADERO, Barranquilla, Colombia",10.98308,-74.79775
"CR 26C1 82 08, Barranquilla, Colombia",10.9787597855895,-74.8227488685476
"CR 15 78 123, Barranquilla, Colombia",10.9258732214495,-74.8238777804654
"CR 57 CL 85, Barranquilla, Colombia",11.010458836113,-74.8157512093679
"CR 38 69 128, Barranquilla, Colombia",10.9840456227536,-74.8060156776929
"CL 100 CR 55, Barranquilla, Colombia",10.9995143421764,-74.8408288966301
"CL 82 CR 56, Barranquilla, Colombia",11.0083100483792,-74.8119149193223
"CR 42G CL 82, Barranquilla, Colombia",10.996676684394,-74.8197822468708
"CL 79 CR 59B, Barranquilla, Colombia",11.0134346925406,-74.815622612215
"CR 68 74 80, Barranquilla, Colombia",11.007664911135,-74.794145775419
"CL 110 CR 46, Barranquilla, Colombia",10.9858476930179,-74.8362767035007
"CR 27 CL 41, Barranquilla, Colombia",10.9688550471183,-74.7881948877071
"CR 38 CL 48, Barranquilla, Colombia",10.9805700350462,-74.789854923631
"CL 45 CR 19 54, Barranquilla, Colombia",10.959779052511,-74.7941980404421
"CL 69 CR 49, Barranquilla, Colombia",10.995260032823,-74.8011549444875
"CL 30 10 234, Barranquilla, Colombia",10.949969806353,-74.7855533865654
"CR 46 CL 75, Barranquilla, Colombia",10.9965703428025,-74.809769726868
"CR 50 CL 47 48, Barranquilla, Colombia",10.9901290756177,-74.7857589920541
"CL 110 CR 12B, Barranquilla, Colombia",10.9672486529865,-74.8382458972785
"CL 99 CR 53, Barranquilla, Colombia",11.0153946368698,-74.8269792300608
"CL 90 CR 2 24, Barranquilla, Colombia",10.9364802406433,-74.8240315715356
"CL 44 CR 22, Barranquilla, Colombia",10.9643950364387,-74.7911499276716
"CL 17 CR 12, Barranquilla, Colombia",10.9522099246634,-74.7737964604169
"CL 30 29 101, Barranquilla, Colombia",10.9684617433659,-74.7813192237232
"CL 78 CR 55, Barranquilla, Colombia",11.0056010245845,-74.8061393094519
"AV CIRCUNVALAR CR 31, Barranquilla, Colombia",10.9977192853784,-74.840219905544
"CL 19 CR 59, Barranquilla, Colombia",10.9693269600507,-74.8411378843157
